date,number,remaining,brewer,name,colour,brewer_location,alcohol_by_volume,ibu,specific_style,specific_style_colour,general_style,general_style_colour,description,price,is_currently_available,date
2025-06-01T03:05:25.594184-07:00,49,41,Parallel 49 Brewing Company,Limitless GF Lager,#ecaa3c,"East Vancouver, British Columbia",5.0,18,Cider,#F0F0C0,Ciders And Gluten Free,#F0F0C0,A gluten-free lager brewed without using gluten-containing ingredients. Delicate herbal and spicy German Perle hop character.,8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,5,21,Parallel 49 Brewing Company,N2 Craft Stout,#000000,"East Vancouver, British Columbia",4.6,28,Stout,#001818,Stouts and Porters,#001818,A dry Caribbean style stout with rich coffee and chocolate notes. Beautiful cascade and smooth velvety mouthfeel from the nitro.,8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,22,75,Parallel 49 Brewing Company,Old Boy Classic Ale,#301800,"East Vancouver, British Columbia",5.0,40,Brown Ale,#A84800,"Brown, Amber and Cream Ales",#A84800,"Rich malt flavours of caramel, toffee and light chocolate. This ale is an ode to the pub beers of England. Well balanced flavours of malts and hops make this beer a classic.",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,34,99,Parallel 49 Brewing Company,Peach Bod Sparkling Ale,#F09000,"East Vancouver, British Columbia",5.0,5,Seasonal,#F06000,Seasonal Taps,#F06000,Crisp grainy malt with light peach flavour and slight tartness. Dry and high in carbonation. Very refreshing.,8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,46,41,Parallel 49 Brewing Company,Pink Power Sour,#fd6d4d,"East Vancouver, British Columbia",5.1,5,Sour Ale,#903018,Lambics and Sours,#FF0000,"Vibrant and empowering Tropical Hibiscus POG(passionfruit, orange, guava).",8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,24,20,Parallel 49 Brewing Company,Space Kitty,#F09000,"East Vancouver, British Columbia",5.0,40,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"Hoppy, sessionable juicy IPA. Hop aroma of pineappple, mango, peach, pear, and lime from Mosaic, Amarillo and Citra Cryo dryhop. Light crisp grainy malt flavour. Light ceamy mouthfeel from oats and wheat. Quite hazy but not too thick. Great combination of juicy, hoppy, and sessionable.
",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,15,58,Parallel 49 Brewing Company,Superdelic Time Machine,#eaa118,"East Vancouver, British Columbia",6.4,39,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"This heavily dryhopped hazy IPA showcases a new hop variety from New Zealand, Superdelic. We combined it with a yeast strain that enhances fruity thiol production with mash-hopping. High in passionfruit, mango, lime, gooseberry, sweet candy, and berry aroma. ",8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,9,70,Parallel 49 Brewing Company,The Red Light Sting,#cf4a1f,"East Vancouver, British Columbia",6.0,40,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"A dry, easy-drinking red IPA. Hop characters of lime, pine, kiwi, gooseberry, and spice. Kight grainy malt with a hint of bread, raisin, and roast complexity. Moderate bitterness with dry finish with evergreen aftertaste.
",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,25,48,Parallel 49 Brewing Company,Trash Panda Northeast Hazy IPA,#F09000,"East Vancouver, British Columbia",5.5,37,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"Trash Panda uses huge amounts of dry hopping, giving this beer complex notes of melon, tropical fruit and pear. Its hop and malt varieties leave a visible haziness and smooth, juicy mouth feel. ",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,30,49,Parallel 49 Brewing Company,Tricycle Grapefruit Radler,#F79400,"East Vancouver, British Columbia",3.5,11,Seasonal,#F06000,Seasonal Taps,#F06000,A classic German summer thirst-quenching mix of Bavarian lager and fresh grapefruit juice.,8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,55,92,Parallel 49 Brewing Company,What's the Craic?,#893906,"East Vancouver, British Columbia",5.6,40,Red Ale,#A84800,"Brown, Amber and Cream Ales",#A84800,"An easy-drinking Irish Red Ale with a nuanced malt profile. A delightful grainy sweetness, toasted bread, and delicate toffee notes from the malts. ",8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,35,66,Rewind Beer Co.,BIG West Coast IPA,#cd7e04,"Port Moody, British Columbia",7.3,65,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"The 90’s called: they want their IPA back. With HUGE notes of dank pine, citrus & candied fruit, followed by an assertively BIG AND BOLD IPA bitterness, as it should be.",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,51,37,Slackwater Brewing,Idleback Amber Ale,#7a3403,"Penticton , British Columbia",5.5,25,Amber Ale,#903000,"Brown, Amber and Cream Ales",#A84800,This amber ale combines the best ingredients that Europe and North America have to offer. Belgian crystal malts provide notes of dark fruit and raisins and Cascade hops provide a slight bitterness and a hint of fresh pine.,8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,50,67,Slackwater Brewing,Party Wave Hazy,#cc731a,"Penticton , British Columbia",4.5,25,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"Hazy, pillowy soft body of Pilsner malt, wheat and oats, wrapped in heavy late and dry-hop additions of Mosaic & Amarillo",8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,52,62,St. Augustine's,House Hazy IPA,#B5A502,"Vancouver, British Columbia",5.0,15,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,St Augustines Hazy IPA,8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,48,0,St. Augustine's,House Lager,#F0D830,"Vancouver, British Columbia",5.0,18,Lager,#F1D744,Lagers and Pilsners,#F1D744,Bavarian-style craft lager by Parallel 49.,8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,53,37,St. Augustine's,House Pale Ale,#F0C030,"Vancouver, British Columbia",5.0,40,Pale Ale,#CC8F00,Pale Ales and IPAs,#CC8F00,"A true balance of malt and hops that showcase the bready,caramel flavours of malted barley and the citrus, stone-fruit aromas of hops grown in the Pacific Northwest. Refreshingly drinkable and full of flavour.",8.25,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,10,82,Steamworks,Heroica Red Ale,#781800,"Vancouver, British Columbia",5.6,40,Red Ale,#A84800,"Brown, Amber and Cream Ales",#A84800,"This robust red ale has beautiful citrus and pine notes that come from generous additions of Centennial, Citra & Simcoe hops. It is smooth & velvety in the mouth with toasted malts providing a medium body with hints of roasted hazelnut, toffee & caramel malt flavours.",8.75,True,2025-06-01T03:05:25.594184-07:00
2025-06-01T03:05:25.594184-07:00,8,51,Steamworks,Nitro Stout,#000000,"Vancouver, British Columbia",4.5,30,Stout,#001818,Stouts and Porters,#001818,This beer pours a cascading jet black with a signature tan  head. Aromas of coffee and dark chocolate give way to a  perfectly smooth and creamy mouthfeel ,8.75,True,2025-06-01T03:05:25.594184-07:00
